,aqi,pm25,pm10,hour,day_of_week,month,hour_sin,hour_cos,day_sin,day_cos,aqi_pm25_ratio,aqi_pm10_ratio,lag_1h,lag_3h,lag_6h,lag_12h,lag_24h,rolling_mean_6h,rolling_std_6h,rolling_max_6h,rolling_mean_12h,rolling_std_12h,rolling_max_12h,rolling_mean_24h,rolling_std_24h,rolling_max_24h,rolling_mean_72h,rolling_std_72h,rolling_max_72h,target_24h
rolling_mean_12h,0.9440787041999795,0.3713938193974969,0.33762519797229046,-0.0007342175252297928,-0.1063907502784055,0.035430716944572345,0.0017246116222432127,0.0004651484728420596,0.05468913372379587,0.20128535805049333,0.10942033139699751,0.09979692373146265,0.9611126497643049,0.9855453428539888,0.9962738083938764,0.9243487148562541,0.5970742658059672,0.9830208195212095,-0.052346537014782195,0.9727692952537221,1.0,0.004725781821459908,0.9710084289130597,0.9485274198500537,0.07862124806786809,0.8846080134015175,0.6747801591121949,0.31404866324588854,0.7046858117390725,0.3754939939234231
rolling_std_12h,0.04231691618502405,0.10323961568579743,0.03873322279951804,-0.1350212291999467,-0.17212951495907894,0.07196201710982573,0.1870717906655946,-0.1007991253048039,0.1530138601775523,0.034603489457092136,-0.03424535470338796,-0.05356095164927252,0.03678479435437271,0.022237880210564186,0.00010244103012254122,-0.035538476965096655,-0.028935557309309416,0.025771280803640956,0.8065424414558855,0.12440013552449505,0.004725781821459908,1.0,0.2317004608705586,-0.0184943455442982,0.6889471421694626,0.2612282917599287,0.11785776609720842,0.26926675885817003,0.278344807979115,0.14239926746347564
rolling_max_12h,0.9303392408833193,0.4137827241280527,0.35784932209285963,-0.021294982574872518,-0.1443998520424054,0.05275755833775983,0.03330074928120773,-0.012096573135132755,0.08578562371152736,0.20610771549424356,0.07359431452845604,0.06627261411841893,0.9432925073004927,0.9598156388528819,0.9631526820475589,0.8939860358143203,0.5934749776337563,0.9596016050552154,0.14620699688573388,0.9747410151821807,0.9710084289130597,0.2317004608705586,1.0,0.9231620420040647,0.22984758568409824,0.9279273202258869,0.6929976654421177,0.374289635105051,0.7586301670065012,0.41610416941062506
rolling_mean_24h,0.8267893319225825,0.3214799250716677,0.30228152550736476,0.0015189677590552045,-0.1069352751930425,0.034924430785260294,-0.001498806748685287,0.0007050192497789847,0.09273320253647041,0.17260380244048595,0.10576545776624459,0.0731559297354126,0.8506781518504672,0.8941913779770277,0.9457400340399605,0.9848125133456371,0.8023204356118199,0.8880388972070763,-0.060114821971593936,0.8790244438045947,0.9485274198500537,-0.0184943455442982,0.9231620420040647,1.0,0.04231829733716639,0.9176970027409912,0.7785842331806399,0.29295126324121096,0.7548419195071912,0.35716120097718534
rolling_std_24h,0.1122462447776647,0.06088925957553546,0.006152018626786034,0.08703964036463736,-0.2214826964545683,0.07652204398129146,-0.09117313356844929,-0.09237974237537147,0.19240127162293655,-0.010271439690509209,0.022488987736110792,0.007887646997689136,0.10649648681709165,0.09369278277398822,0.07312473358538271,0.03318930339284123,-0.031000323423519473,0.09738210590202642,0.38131168463530907,0.14322061623908058,0.07862124806786809,0.6889471421694626,0.22984758568409824,0.04231829733716639,1.0,0.39616150475793777,0.12757810620580062,0.4881427586756306,0.4016355644019247,0.2323513426696893
rolling_max_24h,0.8176619161129611,0.3850688110019714,0.32325305828253353,0.01554299630950466,-0.18717833162840233,0.050615362823509986,-0.016625507232258165,-0.004388671535539931,0.14937088042276914,0.16621963700304432,0.05264934709049146,0.03453022448356626,0.8309617968786557,0.852833992467472,0.8741642042470037,0.8796129239597773,0.7469367534591435,0.852010743136071,0.1339417085561496,0.8668942085099859,0.8846080134015175,0.2612282917599287,0.9279273202258869,0.9176970027409912,0.39616150475793777,1.0,0.7817732823933322,0.4670180110092409,0.8659310281687631,0.45994745091599154
rolling_mean_72h,0.577678359445945,0.25348969088556744,0.25341838996652416,0.002190809408568033,-0.08087748762809956,-0.03422394572326229,-0.0017003811818825942,9.605886652562692e-05,0.11371318341005074,-0.006940398204803357,0.07537881673309398,0.024296350469590056,0.5935471154577155,0.6245122346068954,0.668114126665865,0.740206143141865,0.8142629713679647,0.621024271325904,0.0855757845433695,0.6315234603278803,0.6747801591121949,0.11785776609720842,0.6929976654421177,0.7785842331806399,0.12757810620580062,0.7817732823933322,1.0,0.1920905125306851,0.8487656719622186,0.27241593247311696
rolling_std_72h,0.3481561915992441,0.30034367113547933,0.22514636051828646,0.005118529523428086,-0.04861679447479773,-0.048581032510095275,-0.0017344061914607034,-0.018738250406821325,0.0606079736965942,-0.10849828982522805,-0.12595212065517036,-0.09653757538288091,0.3399282552570379,0.32385678161359266,0.30108167670542635,0.26211978633384647,0.20125726086132031,0.330550235644375,0.16070112077147986,0.3499844814894045,0.31404866324588854,0.26926675885817003,0.374289635105051,0.29295126324121096,0.4881427586756306,0.4670180110092409,0.1920905125306851,1.0,0.6072494408208207,0.4132123290900385
rolling_max_72h,0.6560257342666321,0.3496366315879324,0.3028137039215655,0.010602172625184071,-0.11508126720279226,-0.06028504361608303,-0.009342099575652596,-0.008640979859661571,0.09619760209000656,-0.06235898287227031,0.004835083758608771,-0.014657696374492267,0.6636811795244761,0.6772485124472288,0.6929613959684217,0.7090589427917658,0.6941075858885942,0.6782803626871488,0.17720818862238835,0.6992878987432418,0.7046858117390725,0.278344807979115,0.7586301670065012,0.7548419195071912,0.4016355644019247,0.8659310281687631,0.8487656719622186,0.6072494408208207,1.0,0.39688757081279896
target_24h,0.4397214870903376,0.5373994218351235,0.45796940972412137,0.007199417990985412,-0.043396591054729663,0.03677280823740962,-0.006998360564639994,0.0047981999848549575,-0.17198985653786386,0.21809578331975604,-0.3490203563048875,-0.27177655511997906,0.420626137313903,0.38772431405918084,0.35278212604410325,0.3142838512714019,0.2682665408455695,0.4010523360625804,0.1004806757441925,0.4158586769920354,0.3754939939234231,0.14239926746347564,0.41610416941062506,0.35716120097718534,0.2323513426696893,0.45994745091599154,0.27241593247311696,0.4132123290900385,0.39688757081279896,1.0
