timestamp,aqi,pm2_5,pm10,source,location,collected_at,_id
2025-12-11T06:00,82,22.6,26.3,Open-Meteo,Karachi,2026-01-23T08:17:02.075783,69732e7e6c7538a09bee7aec
2025-12-11T07:00,82,28.3,32.1,Open-Meteo,Karachi,2026-01-23T08:17:02.075786,69732e7e6c7538a09bee7aed
2025-12-11T08:00,82,41.6,45.3,Open-Meteo,Karachi,2026-01-23T08:17:02.075788,69732e7e6c7538a09bee7aee
2025-12-11T09:00,82,49.9,52.5,Open-Meteo,Karachi,2026-01-23T08:17:02.075793,69732e7e6c7538a09bee7aef
2025-12-11T10:00,83,25.4,30.6,Open-Meteo,Karachi,2026-01-23T08:17:02.075796,69732e7e6c7538a09bee7af0
2025-12-11T11:00,83,21.7,27.7,Open-Meteo,Karachi,2026-01-23T08:17:02.075799,69732e7e6c7538a09bee7af1
2025-12-11T12:00,83,17.9,23.9,Open-Meteo,Karachi,2026-01-23T08:17:02.075801,69732e7e6c7538a09bee7af2
2025-12-11T13:00,82,16.5,22.3,Open-Meteo,Karachi,2026-01-23T08:17:02.075804,69732e7e6c7538a09bee7af3
2025-12-11T14:00,82,16.4,22.1,Open-Meteo,Karachi,2026-01-23T08:17:02.075806,69732e7e6c7538a09bee7af4
2025-12-11T15:00,82,15.5,20.8,Open-Meteo,Karachi,2026-01-23T08:17:02.075809,69732e7e6c7538a09bee7af5
2025-12-11T16:00,82,14.6,19.7,Open-Meteo,Karachi,2026-01-23T08:17:02.075811,69732e7e6c7538a09bee7af6
2025-12-11T17:00,82,10.9,12.1,Open-Meteo,Karachi,2026-01-23T08:17:02.075814,69732e7e6c7538a09bee7af7
2025-12-11T18:00,82,18.9,20.1,Open-Meteo,Karachi,2026-01-23T08:17:02.075817,69732e7e6c7538a09bee7af8
2025-12-11T19:00,82,24.4,26.0,Open-Meteo,Karachi,2026-01-23T08:17:02.075820,69732e7e6c7538a09bee7af9
2025-12-11T20:00,81,26.7,28.3,Open-Meteo,Karachi,2026-01-23T08:17:02.075823,69732e7e6c7538a09bee7afa
2025-12-11T21:00,80,29.9,31.8,Open-Meteo,Karachi,2026-01-23T08:17:02.075826,69732e7e6c7538a09bee7afb
2025-12-11T22:00,79,35.0,37.3,Open-Meteo,Karachi,2026-01-23T08:17:02.075829,69732e7e6c7538a09bee7afc
2025-12-11T23:00,79,39.7,42.3,Open-Meteo,Karachi,2026-01-23T08:17:02.075834,69732e7e6c7538a09bee7afd
2025-12-12T00:00,79,40.9,43.9,Open-Meteo,Karachi,2026-01-23T08:17:02.075837,69732e7e6c7538a09bee7afe
2025-12-12T01:00,79,37.8,41.0,Open-Meteo,Karachi,2026-01-23T08:17:02.075840,69732e7e6c7538a09bee7aff
2025-12-12T02:00,80,32.2,35.7,Open-Meteo,Karachi,2026-01-23T08:17:02.075845,69732e7e6c7538a09bee7b00
2025-12-12T03:00,80,28.5,32.6,Open-Meteo,Karachi,2026-01-23T08:17:02.075848,69732e7e6c7538a09bee7b01
2025-12-12T04:00,81,27.1,32.2,Open-Meteo,Karachi,2026-01-23T08:17:02.075853,69732e7e6c7538a09bee7b02
2025-12-12T05:00,82,34.1,36.9,Open-Meteo,Karachi,2026-01-23T08:17:02.075856,69732e7e6c7538a09bee7b03
2025-12-12T06:00,83,30.7,33.3,Open-Meteo,Karachi,2026-01-23T08:17:02.075859,69732e7e6c7538a09bee7b04
2025-12-12T07:00,83,35.5,38.3,Open-Meteo,Karachi,2026-01-23T08:17:02.075862,69732e7e6c7538a09bee7b05
2025-12-12T08:00,84,37.1,40.4,Open-Meteo,Karachi,2026-01-23T08:17:02.075865,69732e7e6c7538a09bee7b06
2025-12-12T09:00,84,38.1,41.0,Open-Meteo,Karachi,2026-01-23T08:17:02.075867,69732e7e6c7538a09bee7b07
2025-12-12T10:00,83,26.8,30.4,Open-Meteo,Karachi,2026-01-23T08:17:02.075870,69732e7e6c7538a09bee7b08
2025-12-12T11:00,83,23.5,27.9,Open-Meteo,Karachi,2026-01-23T08:17:02.075873,69732e7e6c7538a09bee7b09
2025-12-12T12:00,83,21.9,26.7,Open-Meteo,Karachi,2026-01-23T08:17:02.075875,69732e7e6c7538a09bee7b0a
2025-12-12T13:00,83,19.2,24.1,Open-Meteo,Karachi,2026-01-23T08:17:02.075878,69732e7e6c7538a09bee7b0b
2025-12-12T14:00,83,16.9,21.1,Open-Meteo,Karachi,2026-01-23T08:17:02.075880,69732e7e6c7538a09bee7b0c
2025-12-12T15:00,84,14.8,18.2,Open-Meteo,Karachi,2026-01-23T08:17:02.075883,69732e7e6c7538a09bee7b0d
2025-12-12T16:00,83,12.6,15.5,Open-Meteo,Karachi,2026-01-23T08:17:02.075886,69732e7e6c7538a09bee7b0e
2025-12-12T17:00,83,9.7,11.3,Open-Meteo,Karachi,2026-01-23T08:17:02.075888,69732e7e6c7538a09bee7b0f
2025-12-12T18:00,83,15.4,16.8,Open-Meteo,Karachi,2026-01-23T08:17:02.075891,69732e7e6c7538a09bee7b10
2025-12-12T19:00,83,21.4,22.8,Open-Meteo,Karachi,2026-01-23T08:17:02.075893,69732e7e6c7538a09bee7b11
2025-12-12T20:00,83,24.7,26.4,Open-Meteo,Karachi,2026-01-23T08:17:02.075896,69732e7e6c7538a09bee7b12
2025-12-12T21:00,82,27.4,29.2,Open-Meteo,Karachi,2026-01-23T08:17:02.075899,69732e7e6c7538a09bee7b13
2025-12-12T22:00,82,29.9,32.1,Open-Meteo,Karachi,2026-01-23T08:17:02.075901,69732e7e6c7538a09bee7b14
2025-12-12T23:00,82,30.9,33.4,Open-Meteo,Karachi,2026-01-23T08:17:02.075904,69732e7e6c7538a09bee7b15
2025-12-13T00:00,81,28.8,31.7,Open-Meteo,Karachi,2026-01-23T08:17:02.075911,69732e7e6c7538a09bee7b16
2025-12-13T01:00,80,25.6,28.7,Open-Meteo,Karachi,2026-01-23T08:17:02.075914,69732e7e6c7538a09bee7b17
2025-12-13T02:00,79,22.2,25.5,Open-Meteo,Karachi,2026-01-23T08:17:02.075917,69732e7e6c7538a09bee7b18
2025-12-13T03:00,78,19.5,23.0,Open-Meteo,Karachi,2026-01-23T08:17:02.075919,69732e7e6c7538a09bee7b19
