aqi,pm25,pm10,hour,day_of_week,month,hour_sin,hour_cos,day_sin,day_cos,aqi_pm25_ratio,aqi_pm10_ratio,lag_1h,lag_3h,lag_6h,lag_12h,lag_24h,rolling_mean_6h,rolling_std_6h,rolling_max_6h,rolling_mean_12h,rolling_std_12h,rolling_max_12h,rolling_mean_24h,rolling_std_24h,rolling_max_24h,rolling_mean_72h,rolling_std_72h,rolling_max_72h,target_24h
78.0,38.4,41.1,10,1,12,0.49999999999999994,-0.8660254037844387,0.7818314824680298,0.6234898018587336,1.9796954314720814,1.852731591448931,79.0,81.0,84.0,88.0,88.0,80.5,1.8708286933869707,83.0,83.0,3.3166247903554,88.0,83.0,3.3166247903554,88.0,83.0,3.3166247903554,88.0,91.0
78.0,31.1,35.4,11,1,12,0.258819045102521,-0.9659258262890682,0.7818314824680298,0.6234898018587336,2.4299065420560746,2.142857142857143,78.0,80.0,83.0,88.0,88.0,79.66666666666667,1.6329931618554527,82.0,82.58333333333333,3.4761089357690347,88.0,82.58333333333333,3.4761089357690347,88.0,82.58333333333333,3.4761089357690347,88.0,90.0
78.0,23.5,26.7,12,1,12,1.2246467991473532e-16,-1.0,0.7818314824680298,0.6234898018587336,3.183673469387755,2.815884476534296,78.0,79.0,82.0,88.0,88.0,79.0,1.2649110640673542,81.0,81.75,3.2508740083524916,87.0,82.23076923076923,3.5626265159721258,88.0,82.23076923076923,3.5626265159721258,88.0,89.0
78.0,18.6,20.4,13,1,12,-0.2588190451025208,-0.9659258262890683,0.7818314824680298,0.6234898018587336,3.9795918367346936,3.6448598130841123,78.0,78.0,81.0,87.0,88.0,78.5,0.8366600265340777,80.0,81.0,2.954195783503977,86.0,81.92857142857143,3.6047892441175375,88.0,81.92857142857143,3.6047892441175375,88.0,89.0
78.0,16.8,18.3,14,1,12,-0.4999999999999997,-0.8660254037844388,0.7818314824680298,0.6234898018587336,4.382022471910112,4.041450777202073,78.0,78.0,80.0,86.0,88.0,78.16666666666667,0.40824829046386873,79.0,80.33333333333333,2.6053557891157055,85.0,81.66666666666667,3.618734322278729,88.0,81.66666666666667,3.618734322278729,88.0,89.0
78.0,16.2,17.6,15,1,12,-0.7071067811865471,-0.7071067811865479,0.7818314824680298,0.6234898018587336,4.534883720930233,4.193548387096774,78.0,78.0,79.0,85.0,88.0,78.0,0.0,78.0,79.75,2.2207697273283635,84.0,81.4375,3.6142080737002398,88.0,81.4375,3.6142080737002398,88.0,89.0
78.0,16.5,17.8,16,1,12,-0.8660254037844384,-0.5000000000000004,0.7818314824680298,0.6234898018587336,4.457142857142857,4.148936170212766,78.0,78.0,78.0,84.0,88.0,78.0,0.0,78.0,79.25,1.8153386861559582,83.0,81.23529411764706,3.597384670922507,88.0,81.23529411764706,3.597384670922507,88.0,89.0
78.0,12.8,12.8,17,1,12,-0.9659258262890683,-0.25881904510252063,0.7818314824680298,0.6234898018587336,5.652173913043478,5.652173913043478,78.0,78.0,78.0,83.0,88.0,78.0,0.0,78.0,78.83333333333333,1.4034589305344318,82.0,81.05555555555556,3.5723154827781842,88.0,81.05555555555556,3.5723154827781842,88.0,89.0
84.0,27.5,27.5,18,1,12,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,2.9473684210526314,2.9473684210526314,78.0,78.0,78.0,82.0,88.0,79.0,2.449489742783179,84.0,79.0,1.8586407545691417,84.0,81.21052631578948,3.5367742265833932,88.0,81.21052631578948,3.5367742265833932,88.0,91.0
89.0,32.0,32.0,19,1,12,-0.9659258262890684,0.2588190451025203,0.7818314824680298,0.6234898018587336,2.696969696969697,2.696969696969697,84.0,78.0,78.0,81.0,88.0,80.83333333333333,4.665476038590987,89.0,79.66666666666667,3.4200832880164835,89.0,81.6,3.8580060298444043,89.0,81.6,3.8580060298444043,89.0,95.0
